iter	Passed	Remaining
0	1	110
1	2	108
2	3	113
3	4	105
4	5	103
5	6	105
6	8	107
7	9	108
8	10	107
9	11	106
10	13	105
11	14	103
12	15	101
13	16	100
14	17	99
15	18	97
16	19	95
17	20	94
18	21	93
19	23	93
20	24	93
21	26	93
22	27	92
23	29	93
24	30	92
25	32	91
26	33	90
27	35	90
28	36	89
29	38	88
30	39	88
31	43	92
32	46	94
33	48	93
34	49	92
35	51	90
36	52	89
37	53	87
38	54	85
39	56	84
40	57	82
41	57	79
42	58	77
43	59	76
44	60	74
45	62	72
46	63	71
47	64	69
48	65	68
49	66	66
50	68	65
51	69	63
52	70	62
53	71	60
54	72	59
55	73	57
56	74	56
57	75	54
58	77	53
59	78	52
60	79	50
61	80	49
62	81	48
63	83	46
64	84	45
65	85	44
66	86	42
67	88	41
68	89	40
69	90	38
70	93	38
71	94	36
72	95	35
73	97	34
74	98	32
75	99	31
76	101	30
77	102	28
78	103	27
79	105	26
80	106	25
81	107	23
82	109	22
83	110	21
84	111	19
85	113	18
86	114	17
87	115	15
88	117	14
89	119	13
90	120	11
91	122	10
92	123	9
93	124	7
94	126	6
95	127	5
96	129	3
97	130	2
98	135	1
99	136	0
